"Think Like a Man Too","PG-13",61,23
"The Adventures of Tintin","PG",74,75
"Around the World in 80 Days","PG",34,31
"Anastasia","G",77,86
"Atlantis - The Lost Empire","PG",51,49
"Analyze This","R",62,69
"A Walk Among the Tombstones","R",54,65
"O Brother, Where Art Thou?","PG-13",89,77
"That Awkward Moment","R",47,23
"The Secret World of Arrietty","G",85,95
"Addams Family Values","PG-13",62,78
"Jay and Silent Bob Strike Back","R",75,53
"Charlie's Angels","PG-13",45,67
"Alice in Wonderland","G",78,79
"Dog Day Afternoon","R",90,97
"Amadeus","R",95,95
"So I Married an Axe Murderer","PG-13",68,52
"Airplane!","PG",89,96
"A Nightmare on Elm Street 3 - Dream Warriors","R",67,74
"Lars and the Real Girl","PG-13",84,81
"Annapolis","PG-13",61,10
"About Last Night","R",66,68
"Capitalism: A Love Story","R",73,75
"Air Force One","R",66,79
"August: Osage County","R",66,64
"Away From Her","PG-13",81,94
"American Dreamz","PG-13",31,41
"The American","R",38,66
"Garfield: A Tail of Two Kitties","PG",44,11
"Jet Li's Fearless (Huo Yuan Jia) (Legend of a Fighter)","PG-13",86,73
"The Devil's Advocate","R",80,66
"Stay Alive","PG-13",55,9
"Along Came a Spider","R",54,32
"Gnomeo and Juliet","G",55,55
"It's a Wonderful Life","PG",96,94
"She's All That","PG-13",55,38
"A Knight's Tale","PG-13",79,58
"Chasing Amy","R",83,88
"A Good Year","PG-13",65,25
"An American Haunting","PG-13",36,12
"Angel-A","R",74,44
"Million Dollar Arm","PG",70,62
"S. Darko: A Donnie Darko Tale","R",18,0
"Analyze That","R",39,27
"Apollo 18","PG-13",23,24
"Begin Again","R",81,83
"A Fish Called Wanda","R",85,93
"Little Ashes","R",48,24
"Dazed and Confused","R",90,94
"Admission","PG-13",33,38
"Step Up: All In","PG-13",58,43
"Annie Hall","PG",93,98
"You Again","PG",43,17
"A Nightmare on Elm Street 4 - The Dream Master","R",44,56
"Temptation","PG-13",66,15
"A Very Harold & Kumar Christmas","R",59,68
"A Guide to Recognizing Your Saints","R",74,76
"God Bless America","R",68,68
"Akeelah and the Bee","PG",81,84
"Akira","R",90,87
"Say Anything...","PG-13",85,98
"Ramona and Beezus","G",71,70
"Fast Times At Ridgemont High","R",80,79
"Alien Resurrection","R",40,54
"Alex Rider: Operation Stormbreaker","PG",54,33
"Con Air","R",75,55
"Sister Act","PG",65,71
"ATL","PG-13",87,62
"Miss Pettigrew Lives for a Day","PG-13",71,77
"Bill and Ted's Excellent Adventure","PG",75,79
"A Nightmare on Elm Street 5 - The Dream Child","R",33,33
"Appaloosa","R",54,77
"Abduction","PG-13",43,4
"A Single Man","R",81,85
"A Little Princess","G",88,97
"All Dogs Go To Heaven","G",63,50
"The Drop","R",77,89
"James and the Giant Peach","PG",65,93
"Anaconda","PG-13",24,38
"Army of Darkness","R",87,70
"A Goofy Movie","G",70,53
"Arthur Christmas","PG",76,92
"Planet of the Apes","PG-13",27,45
"Much Ado About Nothing","PG-13",77,85
"The Ant Bully","PG",43,63
"National Lampoon's Animal House","R",89,91
"Arthur","PG-13",45,26
"Away We Go","R",74,67
"Thelma & Louise","R",82,83
"A Good Woman","PG",49,37
"Patch Adams","PG-13",74,22
"Paranormal Activity: The Marked Ones","R",35,38
"Bring It On: All or Nothing","PG-13",70,-1
"A League of Their Own","PG",84,77
"The Kids Are All Right","R",73,93
"Four Weddings and a Funeral","R",74,95
"Assassination of a High School President","R",46,50
"A Serious Man","R",67,89
"Dreamer: Inspired by a True Story","PG",78,64
"Planes, Trains and Automobiles","R",87,94
"The Artist","PG-13",88,98
"How to Lose Friends & Alienate People","R",43,36
"Master and Commander: The Far Side of the World","PG-13",80,85
"Agent Cody Banks","PG",31,39
"A Prairie Home Companion","PG-13",59,81
"About Schmidt","R",74,85
"Snow White and the Seven Dwarfs","G",77,98
"Beavis and Butt-head Do America","PG-13",70,72
"Amores Perros","R",94,92
"A Christmas Story","PG",89,88
"Home Alone 2: Lost in New York","PG",61,24
"Final Fantasy VII: Advent Children","PG-13",84,33
"An Education","PG-13",80,94
"Don't Be Afraid Of The Dark","R",34,58
"Once Upon a Time in America","R",94,89
"Any Given Sunday","R",74,50
"Watchmen: Tales of the Black Freighter and Under the Hood","PG-13",54,-1
"Amazing Grace","PG",85,70
"The Pirates Who Don't Do Anything: A VeggieTales Movie","G",61,39
"All Good Things","R",37,33
"Notes on a Scandal","R",83,87
"Vampire Academy","PG-13",57,9
"Austin Powers 4","Unrated",86,-1
"Man on a Ledge","PG-13",52,32
"The Animatrix","PG-13",78,88
"Love and Basketball","PG-13",95,82
"Dumb and Dumberer: When Harry Met Lloyd","PG-13",23,10
"A Midsummer Night's Dream","PG-13",60,67
"Monty Python's And Now for Something Completely Different","PG",88,90
"Hit & Run","R",49,49
"Sister Act 2: Back in the Habit","PG",60,7
"Sky Captain and the World of Tomorrow","PG",46,72
"As Above, So Below","R",40,27
"An American Tail - Fievel Goes West","G",61,40
"Sense and Sensibility","PG",90,98
"Death at a Funeral","R",79,61
"A Man Apart","R",63,11
"Anacondas: The Hunt for the Blood Orchid","PG-13",27,26
"Alfie","R",51,49
"Alpha and Omega","PG",41,16
"American Graffiti","PG",84,95
"A Hijacking","R",76,95
"Assault on Precinct 13","R",48,60
"A Dangerous Method","R",50,77
"A Very Long Engagement","R",85,78
"American Pie Presents: Beta House","R",57,-1
"An American Werewolf in London","R",85,89
"Airheads","PG-13",50,21
"The Addams Family","PG-13",66,60
"The Squid and the Whale","R",81,93
"A Time to Kill","R",86,67
"A Streetcar Named Desire","PG",90,98
"Scent of a Woman","R",92,88
"Confessions of a Dangerous Mind","R",75,79
"12 Angry Men (Twelve Angry Men)","PG",97,100
"Addicted","R",54,8
"Breaking and Entering","R",52,33
"Home Alone 3","PG",27,27
"Agent Cody Banks 2: Destination London","PG",31,13
"It's Kind of a Funny Story","PG-13",66,58
"Arachnophobia","PG-13",53,91
"An Unfinished Life","PG-13",68,53
"America's Sweethearts","PG-13",40,31
"Lawrence of Arabia","PG",93,99
"Girl With a Pearl Earring","PG-13",68,72
"Annie","G",69,50
"A Fistful of Dollars (Per un Pugno di Dollari)","R",91,98
"Home Alone","PG",79,54
"In a World...","R",71,92
"Drive Angry","R",37,45
"Amour","PG-13",82,93
"De rouille et d'os (Rust and Bone)","R",79,82
"Conviction","R",71,67
"Jeff Who Lives at Home","R",62,78
"Angels in the Outfield","PG",49,35
"Efter brylluppet (After the Wedding)","R",87,87
"The Fox and the Hound","G",78,69
"Anonyma - Eine Frau in Berlin (A Woman in Berlin)","Unrated",70,81
"The Aristocats","G",70,66
"A Perfect Murder","R",51,55
"A Guy Thing","PG-13",35,24
"A Royal Affair","R",82,89
"The Fifth Estate","R",37,37
"A Hard Day's Night","G",90,99
"Rebel Without a Cause","PG-13",88,96
"A Lot Like Love","PG-13",77,41
"Ali G Indahouse","R",54,56
"Van Helsing: The London Assignment","PG-13",53,-1
"The Apparition","PG-13",25,3
"Broken Arrow","R",45,53
"Only Lovers Left Alive","R",74,85
"Alvin and the Chipmunks The Road Chip","G",86,-1
"A Bronx Tale","R",93,96
"Attack the Block","R",74,90
"Three Amigos!","PG",68,44
"Young Adult","R",49,80
"The Aristocrats","Unrated",61,79
"An American Tail","G",71,68
"Anonymous","PG-13",53,46
"All the President's Men","PG",92,98
"Coming to America","R",85,68
"A River Runs Through It","PG",84,83
"Celeste and Jesse Forever","R",61,70
"A Separation","PG-13",92,99
"Aladdin","G",66,-1
"Air Bud","PG",38,43
"Star Wars: Episode VII - The Force Awakens","Unrated",99,-1
"Planes: Fire And Rescue","PG",58,44
"2016: Obama's America","PG",73,26
"Another Cinderella Story","PG",75,-1
"Amistad","R",79,75
"Anna and the King","PG-13",64,51
"Animal Kingdom","R",83,97
"Three Men and a Baby (3 Men and a Baby)","PG",47,74
"Diary of a Wimpy Kid 2: Rodrick Rules","PG",62,48
"Escape From Alcatraz","PG",85,95
"Robot & Frank","PG-13",75,86
"Amityville: The Awakening","Unrated",64,-1
"Art School Confidential","R",48,36
"African Cats","G",77,71
"Frequently Asked Questions About Time Travel","PG-13",60,40
"Alice in Wonderland","Unrated",59,-1
"Alex & Emma","PG-13",41,11
"Audition (Odishon)","R",80,79
"We Need to Talk About Kevin","R",78,76
"All Dogs Go To Heaven 2","G",39,-1
"A Christmas Carol","Unrated",72,-1
"Awakenings","PG-13",89,88
"Police Academy","R",64,41
"Alone in the Dark","R",10,1
"Friday After Next","R",76,25
"The Amityville Horror","R",53,24
"The Loss of a Teardrop Diamond","PG-13",40,26
"The Abandoned","R",42,38
"Bedknobs and Broomsticks","G",74,63
"Bonnie and Clyde","R",88,90
"Arctic Tale","G",61,61
"Mou gaan dou (Infernal Affairs)","R",95,95
"Alan Partridge","R",73,87
"Turner and Hooch","PG",52,54
"Ain't Them Bodies Saints","R",61,80
"American Splendor","R",86,94
"The Sum of All Fears","PG-13",50,59
"Kit Kittredge: An American Girl","G",68,79
"Butch Cassidy and the Sundance Kid","PG",93,89
"An American Werewolf in Paris","R",30,7
"All the Boys Love Mandy Lane","R",31,41
"All About Eve","PG",95,100
"Raising Arizona","PG-13",85,90
"Once Upon a Time in the West","PG-13",95,98
"Alice in Wonderland","Unrated",51,-1
"Planet of the Apes","G",87,89
"A Life Less Ordinary","R",60,39
"Annie","Unrated",57,-1
"Airplane 2 - The Sequel","PG",50,42
"A Charlie Brown Valentine","G",71,-1
"Palo Alto","R",50,73
"Boy A","R",88,88
"Spy Kids: All the Time in the World in 4D","PG",38,22
"Another Earth","PG-13",66,63
"13 Assassins","R",89,96
"Antichrist","Unrated",55,50
"A Sound of Thunder","PG-13",18,6
"The Abyss","PG-13",83,89
"Adam","PG-13",72,64
"Agora","R",65,53
"A Muppet Family Christmas","Unrated",80,-1
"American Hardcore","R",77,72
"Aqua Teen Hunger Force Colon Movie Film for Theaters","R",68,48
"A View to a Kill","PG",41,36
"Romy and Michele's High School Reunion","R",65,69
"What About Bob?","PG",79,82
"Another Year","PG-13",74,93
"Ask the Dust","R",41,35
"The Disappearance of Alice Creed","R",67,82
"A Bridge Too Far","PG",86,73
"To Catch a Thief","PG",84,95
"A Prophet (Un prophete)","R",89,97
"Angel Eyes","R",46,33
"The Act Of Killing","Unrated",85,95
"Antwone Fisher","PG-13",86,79
"An Officer and a Gentleman","R",81,81
"Afflicted","R",58,79
"A Simple Plan","R",80,90
"Fantastic Beasts and Where to Find Them","Unrated",97,-1
"A Walk in the Clouds","PG-13",76,42
"Aladdin and the King of Thieves","Unrated",50,27
"Message in a Bottle","PG-13",67,32
"And So It Goes","PG-13",41,18
"Shine a Light","PG-13",74,87
"Gonzo: The Life and Work of Hunter S. Thompson","R",82,86
"All About My Mother","R",93,98
"Another Gay Movie","R",61,-1
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)","Unrated",87,97
"Of Mice and Men","PG-13",82,96
"A Perfect World","PG-13",84,81
"The Awakening","R",51,61
"The Astronaut's Wife","R",33,16
"Cirque Du Soleil: Worlds Away","PG",58,47
"The Animal","PG-13",28,30
"After the Sunset","PG-13",52,18
"Atlas Shrugged: Part II","PG-13",61,5
"Arsenic and Old Lace","Unrated",92,92
"Win a Date With Tad Hamilton!","PG-13",47,53
"Diary of a Mad Black Woman","PG-13",87,16
"Apt Pupil","R",57,53
"An Affair to Remember","G",88,64
"Shortcut to Happiness (The Devil and Daniel Webster)","PG-13",44,-1
"All You've Got","PG-13",75,-1
"Life in a Day","PG-13",79,80
"Romeo and Juliet","PG-13",48,22
"The Kid with a Bike","PG-13",76,97
"Prince Avalanche","R",52,83
"American Violet","PG-13",78,74
"The Prince and Me 2","PG",29,-1
"Assassins","R",45,16
"Life as a House","R",89,47
"Ace Ventura Jr.: Pet Detective","PG",34,-1
"America: Imagine the World Without Her","PG-13",85,8
"A Christmas Carol","PG",74,-1
"For a Few Dollars More (Per Qualche Dollaro in Piu)","R",94,94
"Arizona Dream","R",86,86
"Wristcutters: A Love Story","R",82,67
"House of Sand and Fog","R",83,75
"Alatriste","Unrated",46,-1
"To the Arctic","G",66,67
"A Tale of Two Sisters","R",83,85
"Atlas Shrugged: Part I","PG-13",70,11
"Dead Alive","R",87,86
"After.Life","R",33,26
"An Evening with Kevin Smith","Unrated",92,100
"Encounters at the End of the World","G",83,94
"Angela's Ashes","R",82,52
"Coffee and Cigarettes","R",76,65
"Adventures in Babysitting","PG-13",70,76
"The Thomas Crown Affair","R",77,70
"A Monster in Paris","PG",64,85
"Diamonds Are Forever","PG",59,66
"A Mighty Wind","PG-13",75,88
"A Better Life","PG-13",79,85
"Last Action Hero","PG-13",46,37
"A Room With a View","R",86,100
"Attack of the Killer Tomatoes!","PG",42,27
"I'll Always Know What You Did Last Summer","R",21,0
"Austenland","PG-13",54,30
"Open Your Eyes (Abre los ojos) (Permanent Midnight)","R",88,85
"Don't Be a Menace to South Central While Drinking Your Juice in The Hood","R",82,29
"The Boys Are Back","PG-13",61,71
"Woman Thou Art Loosed: On the 7th Day","PG-13",69,20
"Me and You and Everyone We Know","R",85,81
"Harold and Maude","PG",93,86
"Che: Part One (The Argentine)","R",75,66
"Love Is All You Need","R",59,74
"Me and Orson Welles","PG-13",61,85
"This Is Not a Film","Unrated",69,98
"The Messenger: The Story of Joan of Arc","R",58,30
"We Are What We Are","R",48,85
"American Outlaws","PG-13",69,14
"Frankie & Alice","R",60,21
"Hobo With a Shotgun","R",57,66
"Are You Here","R",21,7
"Around the World in 80 Days","G",59,74
"Out of Africa","PG",84,53
"Alive","R",69,68
"A Place at the Table","PG",72,90
"Much Ado About Nothing","PG-13",86,91
"A Late Quartet","R",70,78
"An Extremely Goofy Movie","G",48,57
"A Little Bit Of Heaven","PG-13",51,4
"Lilo & Stitch 2: Stitch Has a Glitch","PG",57,40
"The Rules of Attraction","R",71,43
"The Attack","R",77,87
"Aftershock","R",24,35
"Adam & Steve","R",56,55
"An American in Paris","G",79,95
"A Christmas Carol","G",71,100
"Air Bud 3 - World Pup","G",51,-1
"Inequality For All","PG",87,90
"Of Gods and Men","PG-13",76,93
"The Quick and the Dead","R",54,56
"Now and Then","PG-13",83,19
"Dead Like Me: Life After Death","R",37,-1
"Automata","R",31,31
"sex, lies, and videotape","R",79,98
"Hedwig and the Angry Inch","R",93,92
"Anywhere but Here","PG-13",56,64
"Arlington Road","R",75,62
"Mary and Max","G",92,95
"Cinderella III: A Twist in Time","G",60,71
"Absolute Power","R",52,45
"It's a Disaster","R",59,77
"Jingle All the Way","PG",38,17
"It's a Boy Girl Thing","PG-13",61,63
"Titan A.E.","PG",60,52
"The King and I","G",83,96
"Addicted to Love","R",51,57
"Air Bud 5 - Spikes Back","G",49,-1
"Fatal Attraction","R",71,78
"Yours, Mine and Ours","Unrated",80,44
"Burke and Hare","R",36,33
"I Give It a Year","R",39,55
"Midnight in the Garden of Good and Evil","R",66,47
"Assault on Precinct 13","R",79,97
"American Psycho II: All American Girl","R",18,11
"Any Day Now","R",76,79
"Antitrust","PG-13",51,24
"A Christmas Carol","G",89,86
"Jimi: All Is by My Side","R",45,66
"Air Bud 4 - Seventh Inning Fetch","G",51,-1
"A Band Called Death","Unrated",85,94
"Miracle at St. Anna","R",51,34
"Another 48 Hrs.","R",35,19
"A Love Song for Bobby Long","R",80,43
"Angel Heart","R",81,78
"Clear and Present Danger","PG-13",74,82
"Alice in Wonderland","G",62,33
"Catch a Fire","PG-13",71,75
"A Kid in King Arthur's Court","PG",27,5
"Are You Scared","R",16,-1
"Cat on a Hot Tin Roof","PG",93,97
"At Any Price","R",32,51
"The Air I Breathe","R",61,12
"The Crow: City of Angels","R",41,12
"The Diary of Anne Frank","PG",76,76
"...And Justice for All","R",80,81
"A Single Shot","R",33,50
"You Will Meet a Tall Dark Stranger","R",33,46
"Allegiant - Part 1","Unrated",99,-1
"Joan of Arc","Unrated",57,11
"Adult World","R",37,56
"Live and Let Die","PG",65,66
"A.C.O.D.","R",28,50
"The ABCs of Death","R",24,35
"4 Months, 3 Weeks and 2 Days","R",86,95
"Mortal Kombat: Annihilation","PG-13",25,3
"Air Bud 2 - Golden Receiver","G",38,21
"The Sea Inside (Mar Adentro) (The Sea Within)","PG-13",92,84
"Never Say Never Again","PG",38,60
"Anything Else","R",45,40
"After the Dark","R",43,77
"Air America","R",35,13
"A Simple Wish","PG",41,25
"An American Carol","PG-13",46,11
"Antiviral","Unrated",40,65
"Friday the 13th, Part V - A New Beginning","R",27,16
"Anacondas: Trail of Blood","R",21,-1
"Crocodile Dundee in Los Angeles","PG",25,11
"Cowboy del Amor","G",48,70
"Amusement","R",27,-1
"Venus in Fur","Unrated",72,91
